strain	virus	date	accesion	host	country	region	db	segment	url	
Rak-1_czech_republic_2009	CABYV	2009-XX-XX	HM771271.1	Zucchini	Czech Republic	Czech Republic	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/HM771271.1	
Pr-15_czech_republic_2009	CABYV	2009-XX-XX	HM771270.1	Zucchini	Czech Republic	Czech Republic	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/HM771270.1	
Jos-5_czech_republic_2009	CABYV	2009-XX-XX	HM771269.1	Zucchini	Czech Republic	Czech Republic	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/HM771269.1	
CABYV23-8_syria_2009	CABYV	2009-XX-XX	MK614766.1	Zucchini	Syria	Czech Republic	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MK614766.1	
C-UZ4_Uzebkistan_2009	CABYV	2009-XX-XX	KF427706.1	Melon	Uzbekistan	Tashken	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KF427706.1	
C-UZ2_Uzebkistan_2009	CABYV	2009-XX-XX	KF427705.1	Cucumber	Uzbekistan	Tashken	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KF427705.1	
22pCP_Australia_2009	CABYV	2009-XX-XX	HQ543092.1	Pea	Australia	Australia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/HQ543092.1	
21pCP_Australia_2009	CABYV	2009-XX-XX	HQ543091.1	Pea	Australia	Australia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/HQ543091.1	
20pCP_Australia_2009	CABYV	2009-XX-XX	HQ543090.1	Pea	Australia	Australia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/HQ543090.1	
18pCP_Australia_2009	CABYV	2009-XX-XX	HQ543088.1	Pea	Australia	Australia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/HQ543088.1	
12pCP_Australia_2009	CABYV	2009-XX-XX	HQ543083.1	Pea	Australia	Australia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/HQ543083.1	
